;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Inquérito à Permanência de Hóspedes na Hotelaria e Outros Alojamentos: 
resultados globais incluindo AL (? 10 camas) e TER (a)";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Survey on Guests Stays on Hotel Establishments and Other Accommodations: 
global results including AL (10 or more beds) and TER (a)";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3. Hóspedes não residentes nos estabelecimentos de alojamento turístico, por países de residência;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3. Non-resident guests in tourist accommodation establishments, by country of residence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;Unidade/Unit: nº ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anos e meses;Total;Reino Unido;Espanha;Alemanha;França;Países Baixos;EUA;Itália;Brasil;Polónia;Bélgica;Irlanda;Suíça;Dinamarca;Suécia;Áustria;Chéquia;Roménia;Outros;Year / month;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Novembro ;705.314;91.575;92.819;80.888;68.796;27.868;35.568;29.152;59.522;10.266;18.330;11.426;13.203;7.927;14.530;6.315;2.547;3.615;130.967;November ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dezembro;559.056;67.985;114.348;47.097;54.746;19.929;24.278;29.588;49.745;6.573;8.356;5.938;9.408;4.966;7.049;3.402;1.340;3.036;101.272;December;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2017;14.531.151;2.086.528;1.968.670;1.550.877;1.590.847;614.673;788.976;649.590;971.132;318.704;310.984;345.517;291.129;145.298;181.565;144.771;64.575;70.454;2.436.861;2017;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Janeiro ;580.753;71.837;77.839;53.489;51.670;22.961;22.599;29.562;67.841;9.448;9.304;7.339;8.617;6.743;7.452;4.073;2.041;3.142;124.796;January ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fevereiro;642.898;92.268;94.229;70.565;65.035;27.828;21.916;26.380;49.854;11.531;12.753;8.848;11.096;9.423;9.260;6.600;3.559;3.493;118.260;February ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Março ;898.708;133.727;108.734;121.239;88.947;39.324;43.548;36.633;61.417;14.427;19.461;15.656;16.761;13.016;15.065;9.190;3.232;3.968;154.363;March ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Abril ;1.331.588;192.470;223.354;154.007;151.111;53.915;62.962;50.495;78.147;21.048;29.729;30.284;30.464;14.381;19.520;16.548;4.388;5.318;193.447;April ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Maio ;1.494.622;244.227;128.646;165.426;195.246;71.198;90.835;52.224;100.267;30.711;32.620;42.939;29.972;11.922;16.479;18.709;6.790;5.943;250.468;May ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Junho;1.518.263;251.549;159.114;168.649;168.333;69.987;92.557;59.253;96.021;39.482;32.826;49.535;29.237;10.554;14.161;15.578;7.334;6.558;247.535;June ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
