;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Inquérito à Permanência de Hóspedes na Hotelaria e Outros Alojamentos: 
resultados globais incluindo AL (? 10 camas) e TER (a)";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Survey on Guests Stays on Hotel Establishments and Other Accommodations: 
global results including AL (10 or more beds) and TER (a)";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8. Dormidas de não residentes nos estabelecimentos de alojamento turístico, por países de residência;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8. Overnight stays in tourist accommodation establishments by non-residents, by country of residence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;Unidade/Unit: nº ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anos e meses;Total;Reino Unido;Alemanha;Espanha;França;Países Baixos;Brasil;Itália;EUA;Bélgica;Suiça;Polónia;Canadá;Suécia;Irlanda;Dinamarca;Rússia;China;Outros;Year / month;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fevereiro;2 127 545;433 797;314 398;198 311;188 547;154 780;123 218;62 744;56 311;34 601;34 763;42 700;45 413;39 775;30 056;48 600;17 235;28 064;274 232;February ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Março ;2 931 228;579 428;522 242;231 006;241 101;188 552;144 642;91 640;105 298;56 319;53 223;49 556;82 072;77 955;51 696;64 235;27 117;28 043;337 103;March ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Abril ;4 131 783;826 187;602 134;512 527;450 459;218 545;177 078;121 541;139 984;99 853;95 644;63 741;53 570;80 672;124 063;63 112;29 194;34 377;439 102;April ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Maio ;4 633 335;1 096 851;626 662;261 762;552 531;293 289;226 189;122 473;200 866;107 449;86 001;92 032;72 988;55 713;200 788;42 226;36 817;47 176;511 522;May ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Junho;4 897 189;1 189 935;680 615;351 862;475 256;287 586;217 799;140 563;205 624;110 625;85 365;130 063;67 104;48 616;256 238;40 996;39 931;45 355;523 656;June ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Julho ;5 506 062;1 182 634;576 782;627 650;481 968;329 734;237 546;179 996;208 041;187 095;131 884;166 512;81 702;70 645;259 566;86 111;54 277;42 787;601 132;July ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Agosto ;5 972 372;1 215 557;614 314;970 769;753 301;351 607;177 520;308 810;176 305;124 773;86 447;148 681;70 380;44 486;213 821;46 567;59 493;40 116;569 425;August ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Setembro ;5 255 794;1 215 571;758 960;424 480;503 557;284 679;226 924;146 556;228 144;122 894;97 516;152 192;104 820;57 470;209 111;55 158;52 324;41 409;574 029;September ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Outubro;4 673 847;1 010 278;736 215;329 046;420 938;242 550;243 987;128 849;219 849;77 455;111 603;104 436;81 776;93 015;160 660;63 406;39 572;47 505;562 707;October;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Novembro ;2 528 409;388 567;420 085;220 116;208 090;123 728;169 164;93 720;118 473;47 327;45 925;48 793;40 213;85 050;47 940;39 819;29 791;34 876;366 732;November ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
